Qty,Unit,Name of Equipment,Description/Specification,Location/Room,Date Delivered,Serial No.,Remarks
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
,,,,,,2.15781E+12,On hand
1,unit ,Push Cart (Steel),Push Cart (Steel),ICT Department,09/01/2016,,Functional
2,units,3M Patch Panel,Patch Panel 24 port w/ wire Mgr.,ICT Department,08/11/2016,710007069,On hand
18,units,Kit Spare ,Mounting Brackets ,ICT Department,08/11/2016,ZF7982,On hand
4,units,Baofeng,BF-888s Portable Two-way Radio,ICT Dept.,,,Functional
7,units,TP-Link Archer T2U ,AC600 Wireless Dual Band USB Adapter,ICT Dept.,2/24/2017,2.15539E+12,On hand
,,,,,Fr. SITE Dept.,2.14959E+12,On hand
,,,,,,2.15539E+12,On hand
,,,,,,2.15539E+12,On hand
,,,,,,2.15539E+12,On hand
,,,,,,2.15539E+12,On hand
,,,,,,2.15539E+12,On hand
1,unit,TP Link The Reliable Choice,300mbps Mini wireless N USB Adapter,ICT Dept.,2/24/2017 ,216A220004467,On hand
,,,,,Fr. Giged,,
4,units,EDIMAX,Wireless nLite Mini-Size USB Adapter,ICT Dept.,3/15/2017,EW7711UTN9BCD04209,LR103
,,,,,FR. SITE,EW7711UTN9BCD04222,Functional
,,,,,,EW7711UTN9BCD04208,Functional
,,,,,,EW7711UTN9BCD04236,Functional
5,units,POE Injector,TP Link POE Injector TL-POE15OS,ICT Dept.,4/18/2017,216B364006586,On hand
,,,,,,216B634006578,On hand
,,,,,,216B634006575,On hand
,,,,,,216B364006579,On hand
,,,,,,216A320011200,On hand
1,unit,TP-Link (TL-SG1008D),8 port Gigabit Desktop Switch,ICT Dept.,,2.17233E+12,Functional
1,unit,TP-Link _B6E6,450Mbps Wireless N Router,ICT Dept.,,2.16128E+12,Functional
1,unit,Back-UPS,APC ES 500,ICT Dept.,,,Functional
1,unit,Epson Projector,Wireless LAN unit,Fr. SITE,,44D244DD758F,On Hand
1,unit,Seagate 2 TB (External Drive),Backup Plus Slim Portable Storage,ICT Dept.,9/14/2017,NA97LHKL,Not Functional
1,unit,Card Reader,All in One Memory Card Reader,ICT Dept.,,,Functional
1,unit ,VGA Splitter,4 Port VGA Splitter,ICT Dept.,,,Functional
1,unit,Multi Tester,Sanwa YX360TRF Multitester,ICT Dept.,,17020405393,Functional
